iata_code,name,continent,iso_country,municipality
LEC,Coronel Horácio de Mattos Airport,SA,BR,Lençóis
LED,Pulkovo Airport,EU,RU,St. Petersburg
LEE,Leesburg International Airport,NA,US,Leesburg
LEF,Lebakeng Airport,AF,LS,Lebakeng
LEH,Le Havre Octeville Airport,EU,FR,Le Havre/Octeville
LEI,Almería International Airport,EU,ES,Almería
LEJ,Leipzig/Halle Airport,EU,DE,Leipzig
LEK,Tata Airport,AF,GN,Labé
LEL,Lake Evella Airport,OC,AU,
LEM,Lemmon Municipal Airport,NA,US,Lemmon
LEN,Leon Airport,EU,ES,León
LEO,Lekoni Airport,AF,GA,Lekoni
LEP,Leopoldina Airport,SA,BR,Leopoldina
LEQ,Land's End Airport,EU,GB,Land's End
LER,Leinster Airport,OC,AU,
LES,Lesobeng Airport,AF,LS,Lesobeng
LET,Alfredo Vásquez Cobo International Airport,SA,CO,Leticia
LEU,Pirineus - la Seu d'Urgel Airport,EU,ES,La Seu d'Urgell Pyrenees and Andorra
LEV,Levuka Airfield,OC,FJ,Bureta
LEW,Auburn Lewiston Municipal Airport,NA,US,Auburn/Lewiston
LEX,Blue Grass Airport,NA,US,Lexington
LEY,Lelystad Airport,EU,NL,Lelystad
LEZ,La Esperanza Airport,NA,HN,La Esperanza
LFB,Lumbo Airport,AF,MZ,Lumbo
LFI,Langley Air Force Base,NA,US,Hampton
LFK,Angelina County Airport,NA,US,Lufkin
LFM,Lamerd Airport,AS,IR,Lamerd
LFN,Triangle North Executive Airport,NA,US,Louisburg
LFO,Kelafo East Airport,AF,ET,Kelafo
LFP,Lakefield Airport,OC,AU,Lakefield
LFQ,Linfen Qiaoli Airport,AS,CN,Linfen
LFR,La Fria Airport,SA,VE,
LFT,Lafayette Regional Airport,NA,US,Lafayette
LFW,Lomé-Tokoin Airport,AF,TG,Lomé
LGA,La Guardia Airport,NA,US,New York
LGB,Long Beach /Daugherty Field/ Airport,NA,US,Long Beach
LGC,Lagrange Callaway Airport,NA,US,Lagrange
LGD,La Grande/Union County Airport,NA,US,La Grande
LGE,Mulan Airport,OC,AU,Lake Gregory
LGF,Laguna Army Airfield,NA,US,Yuma Proving Ground(Yuma)
LGG,Liège Airport,EU,BE,Liège
LGH,Leigh Creek Airport,OC,AU,
LGI,Deadman's Cay Airport,NA,BS,Deadman's Cay
LGK,Langkawi International Airport,AS,MY,Langkawi
LGL,Long Lellang Airport,AS,MY,Long Datih
LGM,Laiagam Airport,OC,PG,Laiagam
LGN,Linga Linga Airport,OC,PG,Linga Linga
LGO,Langeoog Airport,EU,DE,Langeoog
LGP,Legazpi City International Airport,AS,PH,Legazpi City
LGQ,Nueva Loja Airport,SA,EC,Lago Agrio
LGR,Cochrane Airport,SA,CL,Cochrane
LGS,Comodoro D.R. Salomón Airport,SA,AR,Malargue
LGT,La Gaviota Airport,SA,CO,
LGU,Logan-Cache Airport,NA,US,Logan
LGW,London Gatwick Airport,EU,GB,London
LGX,Lugh Ganane Airport,AF,SO,Luuq
LGY,Lagunillas Airport,SA,VE,Lagunillas
LHA,Lahr Airport,EU,DE,
LHC,Arlington Municipal Airport,NA,US,Arlington
LHE,Alama Iqbal International Airport,AS,PK,Lahore
LHG,Lightning Ridge Airport,OC,AU,
LHI,Lereh Airport,AS,ID,Lereh-Papua Island
LHK,Guangzhou MR Air Base,AS,CN,Guanghua
LHP,Lehu Airport,OC,PG,Lehu
LHR,London Heathrow Airport,EU,GB,London
LHS,Las Heras Airport,SA,AR,Las Heras
LHU,Lianshulu Airport,AF,NA,Lianshulu Lodge
LHV,William T. Piper Memorial Airport,NA,US,Lock Haven
LHW,Lanzhou Zhongchuan Airport,AS,CN,Lanzhou
LIA,Liangping Airport,AS,CN,Liangping
LIB,Limbunya Airport,OC,AU,Limbunya
LIC,Limon Municipal Airport,NA,US,Limon
LID,Valkenburg Naval Air Base,EU,NL,Leiden
LIE,Libenge Airport,AF,CD,Libenge
LIF,Lifou Airport,OC,NC,Lifou
LIG,Limoges Airport,EU,FR,Limoges/Bellegarde
LIH,Lihue Airport,NA,US,Lihue
LII,Mulia Airport,AS,ID,Mulia-Papua Island
LIK,Likiep Airport,OC,MH,Likiep Island
LIL,Lille-Lesquin Airport,EU,FR,Lille/Lesquin
LIM,Jorge Chávez International Airport,SA,PE,Lima
LIN,Milano Linate Airport,EU,IT,Milan
LIO,Limon International Airport,NA,CR,Puerto Limon
LIP,Lins Airport,SA,BR,Lins
LIQ,Lisala Airport,AF,CD,
LIR,Daniel Oduber Quiros International Airport,NA,CR,Liberia
LIS,Humberto Delgado Airport (Lisbon Portela Airport),EU,PT,Lisbon
LIT,Bill & Hillary Clinton National Airport/Adams Field,NA,US,Little Rock
LIV,Livengood Camp Airport,NA,US,Livengood
LIW,Loikaw Airport,AS,MM,Loikaw
LIX,Likoma Island Airport,AF,MW,Likoma Island
LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport,NA,US,Fort Stewart(Hinesville)
LIZ,Loring International Airport,NA,US,Limestone
LJA,Lodja Airport,AF,CD,Lodja
LJG,Lijiang Airport,AS,CN,Lijiang
LJN,Texas Gulf Coast Regional Airport,NA,US,Angleton/Lake Jackson
LJU,Ljubljana Jože Pučnik Airport,EU,SI,Ljubljana
LKA,Gewayentana Airport,AS,ID,Larantuka-Flores Island
LKB,Lakeba Island Airport,OC,FJ,Lakeba Island
LKC,Lekana Airport,AF,CG,Lekana
LKD,Lakeland Airport,OC,AU,Lakeland Downs
LKE,Kenmore Air Harbor Seaplane Base,NA,US,Seattle
LKG,Lokichoggio Airport,AF,KE,Lokichoggio
LKH,Long Akah Airport,AS,MY,Long Akah
LKK,Kulik Lake Airport,NA,US,Kulik Lake
LKL,Banak Airport,EU,NO,Lakselv
LKN,Leknes Airport,EU,NO,Leknes
LKO,Chaudhary Charan Singh International Airport,AS,IN,Lucknow
LKP,Lake Placid Airport,NA,US,Lake Placid
LKU,Lake Rudolf Airport,AF,KE,Lake Rudolf
LKV,Lake County Airport,NA,US,Lakeview
LKW,Lekhwair Airport,AS,OM,
LKY,Lake Manyara Airport,AF,TZ,Lake Manyara National Park
LKZ,RAF Lakenheath,EU,GB,Lakenheath
LLA,Luleå Airport,EU,SE,Luleå
LLB,Libo Airport,AS,CN,Libo County
LLE,Riverside Airport,AF,ZA,Malelane
LLF,Lingling Airport,AS,CN,Yongzhou
LLG,Chillagoe Airport,OC,AU,
LLH,Reginaldo Hammer Airport,NA,HN,La Lima
LLI,Lalibella Airport,AF,ET,Lalibela
LLJ,Lalmonirhat Airport,AS,BD,Lalmonirhat
LLK,Lankaran International Airport,AS,AZ,Lankaran
LLL,Lissadell Airport,OC,AU,Lissadell Station
LLM,Long Lama Airport,AS,MY,Long Lama
LLN,Kelila Airport,AS,ID,Kelila-Papua Island
LLS,Alferez Armando Rodriguez Airport,SA,AR,Las Lomitas
LLU,Alluitsup Paa Heliport,NA,GL,Alluitsup Paa
LLV,Lüliang Airport,AS,CN,Lüliang
LLW,Lilongwe International Airport,AF,MW,Lilongwe
LLX,Caledonia County Airport,NA,US,Lyndonville
LLY,South Jersey Regional Airport,NA,US,Mount Holly
LMA,Minchumina Airport,NA,US,Minchumina
LMB,Salima Airport,AF,MW,Salima
LMC,La Macarena Airport,SA,CO,La Macarena
LMC,El Refugio/La Macarena Airport,SA,CO,La Macarena
LMD,Los Menucos Airport,SA,AR,Los Menucos
LME,Le Mans-Arnage Airport,EU,FR,Le Mans/Arnage
LMI,Lumi Airport,OC,PG,Lumi
LML,Lae Island Airport,OC,MH,Lae Island
LMM,Valle del Fuerte International Airport,NA,MX,Los Mochis
LMN,Limbang Airport,AS,MY,Limbang
LMO,RAF Lossiemouth,EU,GB,Lossiemouth
LMP,Lampedusa Airport,EU,IT,Lampedusa
LMQ,Marsa Brega Airport,AF,LY,
LMR,Lime Acres Finsch Mine Airport,AF,ZA,Lime Acres
LMS,Louisville Winston County Airport,NA,US,Louisville
LMT,Crater Lake-Klamath Regional Airport,NA,US,Klamath Falls
LMY,Lake Murray Airport,OC,PG,Lake Murray
LMZ,Palma Airport,AF,MZ,Palma
LNA,Palm Beach County Park Airport,NA,US,West Palm Beach
LNB,Lamen Bay Airport,OC,VU,Lamen Bay
LNC,Lengbati Airport,OC,PG,
LND,Hunt Field,NA,US,Lander
LNE,Lonorore Airport,OC,VU,Lonorore
LNF,Munbil Airport,OC,PG,
LNG,Lese Airport,OC,PG,Lese
LNH,Lake Nash Airport,OC,AU,Alpurrurulam
LNI,Lonely Air Station,NA,US,Lonely
LNJ,Lintsang Airfield,AS,CN,Lincang
LNK,Lincoln Airport,NA,US,Lincoln
LNL,Longnan Chengzhou Airport,AS,CN,Longnan
LNM,Langimar Airport,OC,PG,
LNN,Willoughby Lost Nation Municipal Airport,NA,US,Willoughby
LNO,Leonora Airport,OC,AU,Leonora
LNP,Lonesome Pine Airport,NA,US,Wise
LNQ,Loani Airport,OC,PG,Loani
LNR,Tri-County Regional Airport,NA,US,Lone Rock
LNS,Lancaster Airport,NA,US,Lancaster
LNV,Londolovit Airport,OC,PG,Londolovit
LNX,Smolensk North Airport,EU,RU,Smolensk
LNY,Lanai Airport,NA,US,Lanai City
LNZ,Linz Hörsching Airport,EU,AT,Linz
LOA,Lorraine Airport,OC,AU,
LOB,San Rafael Airport,SA,CL,Los Andes
LOC,Lock Airport,OC,AU,Lock
LOD,Longana Airport,OC,VU,Longana
LOE,Loei Airport,AS,TH,
LOF,Loen Airport,OC,MH,Loen Island
LOH,Camilo Ponce Enriquez Airport,SA,EC,La Toma (Catamayo)
LOI,Helmuth Baungarten Airport,SA,BR,Lontras
LOK,Lodwar Airport,AF,KE,Lodwar
LOL,Derby Field,NA,US,Lovelock
LOM,Francisco Primo de Verdad y Ramos Airport,NA,MX,Lagos de Moreno
LOO,Laghouat Airport,AF,DZ,Laghouat
LOP,Lombok International Airport,AS,ID,Mataram
LOQ,Lobatse Airport,AF,BW,Lobatse
LOR,Lowe AHP (Fort Rucker) Heliport,NA,US,Fort Rucker Ozark
LOS,Murtala Muhammed International Airport,AF,NG,Lagos
LOT,Lewis University Airport,NA,US,Chicago/Romeoville
LOU,Bowman Field,NA,US,Louisville
LOV,Monclova International Airport,NA,MX,
LOW,Louisa County Airport/Freeman Field,NA,US,Louisa
LOY,Loyengalani Airport,AF,KE,Loyengalani
LOZ,London-Corbin Airport/Magee Field,NA,US,London
LPA,Gran Canaria Airport,EU,ES,Gran Canaria Island
LPB,El Alto International Airport,SA,BO,La Paz / El Alto
LPC,Lompoc Airport,NA,US,Lompoc
LPD,La Pedrera Airport,SA,CO,La Pedrera
LPE,La Primavera Airport,SA,CO,Costa Rica
LPE,La Primavera Airport,SA,CO,La Primavera
LPF,Liupanshui Yuezhao Airport,AS,CN,Liupanshui
LPG,La Plata Airport,SA,AR,La Plata
LPI,Linköping City Airport,EU,SE,Linköping
LPJ,Armando Schwarck Airport,SA,VE,Guayabal
LPK,Lipetsk Airport,EU,RU,Lipetsk
LPL,Liverpool John Lennon Airport,EU,GB,Liverpool
LPM,Lamap Airport,OC,VU,Lamap
LPN,Leron Plains Airport,OC,PG,Leron Plains
LPO,La Porte Municipal Airport,NA,US,La Porte
LPP,Lappeenranta Airport,EU,FI,Lappeenranta
LPQ,Luang Phabang International Airport,AS,LA,Luang Phabang
LPS,Lopez Island Airport,NA,US,Lopez
LPT,Lampang Airport,AS,TH,
LPU,Long Apung Airport,AS,ID,Long Apung-Borneo Island
LPX,Liepāja International Airport,EU,LV,Liepāja
LPY,Le Puy-Loudes Airport,EU,FR,Le Puy/Loudes
LQK,Pickens County Airport,NA,US,Pickens
LQM,Caucaya Airport,SA,CO,Puerto Leguízamo
LQN,Qala-I-Naw Airport,AS,AF,Qala-I-Naw
LRA,Larisa Airport,EU,GR,Larisa
LRB,Leribe Airport,AF,LS,Leribe
LRD,Laredo International Airport,NA,US,Laredo
LRE,Longreach Airport,OC,AU,Longreach
LRF,Little Rock Air Force Base,NA,US,Jacksonville
LRG,Loralai Airport,AS,PK,Loralai
LRH,La Rochelle-Île de Ré Airport,EU,FR,La Rochelle/Île de Ré
LRJ,Le Mars Municipal Airport,NA,US,Le Mars
LRL,Niamtougou International Airport,AF,TG,Niamtougou
LRM,Casa De Campo International Airport,NA,DO,La Romana
LRO,Sharpe AAF,NA,US,Lathrop
LRQ,Laurie River Airport,NA,CA,Laurie River
LRR,Lar Airport,AS,IR,Lar
LRS,Leros Airport,EU,GR,Leros Island
LRT,Lorient South Brittany (Bretagne Sud) Airport,EU,FR,Lorient/Lann/Bihoué
LRU,Las Cruces International Airport,NA,US,Las Cruces
LRV,Los Roques Airport,SA,VE,Gran Roque Island
LSA,Losuia Airport,OC,PG,Losuia
LSB,Lordsburg Municipal Airport,NA,US,Lordsburg
LSC,La Florida Airport,SA,CL,La Serena-Coquimbo
LSE,La Crosse Municipal Airport,NA,US,La Crosse
LSF,Lawson Army Air Field (Fort Benning),NA,US,Fort Benning(Columbus)
LSH,Lashio Airport,AS,MM,Lashio
LSI,Sumburgh Airport,EU,GB,Lerwick
LSJ,Long Island Airport,OC,PG,Long Island
LSK,Lusk Municipal Airport,NA,US,Lusk
LSL,Los Chiles Airport,NA,CR,Los Chiles
LSM,Long Semado Airport,AS,MY,Long Semado
LSN,Los Banos Municipal Airport,NA,US,Los Banos
LSO,Les Sables-d'Olonne Talmont Airport,EU,FR,Les Sables-d'Olonne
LSP,Josefa Camejo International Airport,SA,VE,Paraguaná
LSQ,María Dolores Airport,SA,CL,Los Angeles
LSS,Terre-de-Haut Airport,NA,GP,Les Saintes
LST,Launceston Airport,OC,AU,Launceston
LSU,Long Sukang Airport,AS,MY,Long Sukang
LSV,Nellis Air Force Base,NA,US,Las Vegas
LSW,Malikus Saleh Airport,AS,ID,Lhok Seumawe-Sumatra Island
LSX,Lhok Sukon Airport,AS,ID,Lhok Sukon-Sumatra Island
LSY,Lismore Airport,OC,AU,Lismore
LSZ,Lošinj Island Airport,EU,HR,Lošinj
LTA,Tzaneen Airport,AF,ZA,Tzaneen
LTB,Latrobe Airport,OC,AU,Latrobe
LTC,Lai Airport,AF,TD,Lai
LTD,Ghadames East Airport,AF,LY,Ghadames
LTF,Leitre Airport,OC,PG,Leitre
LTG,Langtang Airport,AS,NP,Langtang
LTH,Lathrop Wells Airport / Jackass Aeropark,NA,US,Amargosa Valley
LTI,Altai Airport,AS,MN,Altai
LTK,Bassel Al-Assad International Airport,AS,SY,Latakia
LTL,Lastourville Airport,AF,GA,Lastourville
LTM,Lethem Airport,SA,GY,Lethem
LTN,London Luton Airport,EU,GB,London
LTO,Loreto International Airport,NA,MX,Loreto
LTP,Lyndhurst Airport,OC,AU,Lyndhurst
LTQ,Le Touquet-Côte d'Opale Airport,EU,FR,Le Touquet-Paris-Plage
LTR,Letterkenny Airport,EU,IE,Letterkenny
LTS,Altus Air Force Base,NA,US,Altus
LTT,La Môle Airport,EU,FR,La Môle
LTU,Murod Kond Airport,AS,IN,Latur
LTV,Lotus Vale Airport,OC,AU,Lotus Vale
LTW,St. Mary's County Regional Airport,NA,US,Leonardtown
LTX,Cotopaxi International Airport,SA,EC,Latacunga
LUA,Lukla Airport,AS,NP,Lukla
LUB,Lumid Pau Airport,SA,GY,Lumid Pau
LUC,Laucala Island Airport,OC,FJ,Laucala Island
LUD,Luderitz Airport,AF,NA,Luderitz
LUE,Lučenec Airport,EU,SK,Lučenec
LUF,Luke Air Force Base,NA,US,Glendale
LUG,Lugano Airport,EU,CH,Lugano
LUH,Ludhiana Airport,AS,IN,
LUI,Carta Airport,NA,HN,La Unión
LUJ,Lusikisiki Airport,AF,ZA,Lusikisiki
LUK,Cincinnati Municipal Airport Lunken Field,NA,US,Cincinnati
LUL,Hesler Noble Field,NA,US,Laurel
LUM,Mangshi Airport,AS,CN,Luxi
LUN,Kenneth Kaunda International Airport Lusaka,AF,ZM,Lusaka
LUO,Luena Airport,AF,AO,Luena
LUP,Kalaupapa Airport,NA,US,Kalaupapa
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,SA,AR,San Luis
LUR,Cape Lisburne LRRS Airport,NA,US,Cape Lisburne
LUS,Lusanga Airport,AF,CD,Lusanga
LUT,New Laura Airport,OC,AU,
LUU,Laura Airport,OC,AU,
LUV,Dumatumbun Airport,AS,ID,Langgur-Seram Island
LUW,Syukuran Aminuddin Amir Airport,AS,ID,Luwok - Celebes Island
LUX,Luxembourg-Findel International Airport,EU,LU,Luxembourg
LUY,Lushoto Airport,AF,TZ,Lushoto
LUZ,Lublin Airport,EU,PL,Lublin
LVA,Laval-Entrammes Airport,EU,FR,Laval/Entrammes
LVB,Santana do Livramento Airport,SA,BR,Santana do Livramento
LVD,Lime Village Airport,NA,US,Lime Village
LVI,Livingstone Airport,AF,ZM,Livingstone
LVK,Livermore Municipal Airport,NA,US,Livermore
LVL,Lawrenceville Brunswick Municipal Airport,NA,US,Lawrenceville
LVM,Mission Field,NA,US,Livingston
LVO,Laverton Airport,OC,AU,
LVP,Lavan Island Airport,AS,IR,
LVR,Municipal Bom Futuro Airport,SA,BR,Lucas do Rio Verde
LVS,Las Vegas Municipal Airport,NA,US,Las Vegas
LWA,Lebak Rural Airport,AS,PH,Lebak
LWB,Greenbrier Valley Airport,NA,US,Lewisburg
LWC,Lawrence Municipal Airport,NA,US,Lawrence
LWE,Lewoleba Airport,AS,ID,Lewoleba-Lembata Island
LWH,Lawn Hill Airport,OC,AU,
LWI,Lowai Airport,OC,PG,Lowai
LWK,Lerwick / Tingwall Airport,EU,GB,Lerwick
LWL,Wells Municipal Airport/Harriet Field,NA,US,Wells
LWM,Lawrence Municipal Airport,NA,US,Lawrence
LWN,Gyumri Shirak Airport,AS,AM,Gyumri
LWO,Lviv International Airport,EU,UA,Lviv
LWR,Leeuwarden Air Base,EU,NL,Leeuwarden
LWS,Lewiston Nez Perce County Airport,NA,US,Lewiston
LWT,Lewistown Municipal Airport,NA,US,Lewistown
LWV,Lawrenceville Vincennes International Airport,NA,US,Lawrenceville
LWY,Lawas Airport,AS,MY,Lawas
LXA,Lhasa Gonggar Airport,AS,CN,Lhasa
LXG,Luang Namtha Airport,AS,LA,Luang Namtha
LXN,Jim Kelly Field,NA,US,Lexington
LXR,Luxor International Airport,AF,EG,Luxor
LXS,Limnos Airport,EU,GR,Limnos Island
LXU,Lukulu Airport,AF,ZM,Lukulu
LXV,Lake County Airport,NA,US,Leadville
LYA,Luoyang Airport,AS,CN,Luoyang
LYB,Edward Bodden Airfield,NA,KY,Little Cayman
LYC,Lycksele Airport,EU,SE,
LYE,RAF Lyneham,EU,GB,Lyneham
LYG,Lianyungang Airport,AS,CN,Lianyungang
LYH,Lynchburg Regional Preston Glenn Field,NA,US,Lynchburg
LYI,Shubuling Airport,AS,CN,Linyi
LYK,Lunyuk Airport,AS,ID,Lunyuk-Simbawa Island
LYM,Lympne Airport,EU,GB,Ashford
LYN,Lyon-Bron Airport,EU,FR,Lyon/Bron
LYO,Lyons-Rice County Municipal Airport,NA,US,Lyons
LYP,Faisalabad International Airport,AS,PK,Faisalabad
LYR,"Svalbard Airport, Longyear",EU,NO,Longyearbyen
LYS,Lyon Saint-Exupéry Airport,EU,FR,Lyon
LYT,Lady Elliot Island Airstrip,OC,AU,Lady Elliot Island
LYU,Ely Municipal Airport,NA,US,Ely
LYX,Lydd Airport,EU,GB,"Lydd, Ashford"
LZA,Luiza Airport,AF,CD,Luiza
LZC,Lázaro Cárdenas Airport,NA,MX,Lázaro Cárdenas
LZH,Liuzhou Bailian Airport,AS,CN,Liuzhou
LZI,Luozi Airport,AF,CD,Luozi
LZM,Luzamba Airport,AF,AO,Luzamba
LZN,Matsu Nangan Airport,AS,TW,Nangang Island
LZO,Luzhou Airport,AS,CN,Luzhou
LZR,Lizard Island Airport,OC,AU,
LZR,[Duplicate] Lizard Island Airport,OC,AU,
LZU,Gwinnett County Briscoe Field,NA,US,Lawrenceville
LZY,Nyingchi Airport,AS,CN,Nyingchi
MAA,Chennai International Airport,AS,IN,Chennai
MAB,João Correa da Rocha Airport,SA,BR,Marabá
MAC,Macon Downtown Airport,NA,US,Macon
MAD,Adolfo Suárez Madrid–Barajas Airport,EU,ES,Madrid
MAE,Madera Municipal Airport,NA,US,Madera
MAF,Midland International Airport,NA,US,Midland
MAG,Madang Airport,OC,PG,Madang
MAH,Menorca Airport,EU,ES,Menorca Island
MAI,Mangochi Airport,AF,MW,Mangochi
MAJ,Marshall Islands International Airport,OC,MH,Majuro Atoll
MAK,Malakal Airport,AF,SS,Malakal
MAL,"Mangole Airport, Falabisahaya",AS,ID,Mangole Island
MAM,General Servando Canales International Airport,NA,MX,Matamoros
MAN,Manchester Airport,EU,GB,Manchester
MAO,Eduardo Gomes International Airport,SA,BR,Manaus
MAP,Mamai Airport,OC,PG,Mamai
MAQ,Mae Sot Airport,AS,TH,
MAR,La Chinita International Airport,SA,VE,Maracaibo
MAS,Momote Airport,OC,PG,Manus Island
MAT,Tshimpi Airport,AF,CD,Matadi
MAU,Maupiti Airport,OC,PF,
MAV,Maloelap Island Airport,OC,MH,Maloelap Island
MAW,Malden Regional Airport,NA,US,Malden
MAX,Ouro Sogui Airport,AF,SN,Matam
MAY,Clarence A. Bain Airport,NA,BS,Mangrove Cay
MAZ,Eugenio Maria De Hostos Airport,NA,PR,Mayaguez
MBA,Mombasa Moi International Airport,AF,KE,Mombasa
MBB,Marble Bar Airport,OC,AU,
MBC,M'Bigou Airport,AF,GA,M'Bigou
MBD,Mmabatho International Airport,AF,ZA,Mafeking
MBE,Monbetsu Airport,AS,JP,Monbetsu
MBG,Mobridge Municipal Airport,NA,US,Mobridge
MBH,Maryborough Airport,OC,AU,Maryborough
MBI,Songwe Airport,AF,TZ,Mbeya
MBJ,Sangster International Airport,NA,JM,Montego Bay
MBK,Regional Orlando Villas Boas Airport,SA,BR,Matupá
MBL,Manistee Co Blacker Airport,NA,US,Manistee
MBM,Mkambati Airport,AF,ZA,Mkambati
MBO,Mamburao Airport,AS,PH,
MBP,Moyobamba Airport,SA,PE,Moyobamba
MBQ,Mbarara Airport,AF,UG,Mbarara
MBS,MBS International Airport,NA,US,Saginaw
MBT,Moises R. Espinosa Airport,AS,PH,Masbate
MBU,Babanakira Airport,OC,SB,Mbambanakira
MBV,Masa Airport,OC,PG,Masa
MBW,Melbourne Moorabbin Airport,OC,AU,Melbourne
MBX,Maribor Airport,EU,SI,
MBY,Omar N Bradley Airport,NA,US,Moberly
MBZ,Maués Airport,SA,BR,Maués
MCA,Macenta Airport,AF,GN,Macenta
MCB,Mc Comb/Pike County Airport/John E Lewis Field,NA,US,Mc Comb
MCC,Mc Clellan Airfield,NA,US,Sacramento
MCD,Mackinac Island Airport,NA,US,Mackinac Island
MCE,Merced Regional Macready Field,NA,US,Merced
MCF,Mac Dill Air Force Base,NA,US,Tampa
MCG,McGrath Airport,NA,US,McGrath
MCH,General Manuel Serrano Airport,SA,EC,Machala
MCI,Kansas City International Airport,NA,US,Kansas City
MCJ,Jorge Isaac Airport,SA,CO,La Mina-Maicao
MCK,Mc Cook Ben Nelson Regional Airport,NA,US,Mc Cook
MCL,McKinley National Park Airport,NA,US,McKinley Park
MCM,Monaco Heliport,EU,MC,Fontvieille
MCN,Middle Georgia Regional Airport,NA,US,Macon
MCO,Orlando International Airport,NA,US,Orlando
MCP,Alberto Alcolumbre Airport,SA,BR,Macapá
MCQ,Miskolc Airport,EU,HU,Miskolc
MCR,Melchor de Mencos Airport,NA,GT,Melchor de Mencos
MCS,Monte Caseros Airport,SA,AR,Monte Caseros
MCT,Muscat International Airport,AS,OM,Muscat
MCU,Montluçon-Guéret Airport,EU,FR,Montluçon/Guéret
MCV,McArthur River Mine Airport,OC,AU,McArthur River Mine
MCW,Mason City Municipal Airport,NA,US,Mason City
MCX,Uytash Airport,EU,RU,Makhachkala
MCY,Sunshine Coast Airport,OC,AU,Maroochydore
MCZ,Zumbi dos Palmares Airport,SA,BR,Maceió
MDA,Martindale Army Heliport,NA,US,San Antonio
MDB,Melinda Airport,NA,BZ,Melinda
MDC,Sam Ratulangi Airport,AS,ID,Manado-Celebes Island
MDD,Midland Airpark,NA,US,Midland
MDE,Jose Maria Córdova International Airport,SA,CO,Medellín
MDF,Taylor County Airport,NA,US,Medford
MDG,Mudanjiang Hailang International Airport,AS,CN,Mudanjiang
MDH,Southern Illinois Airport,NA,US,Carbondale/Murphysboro
MDI,Makurdi Airport,AF,NG,Makurdi
MDJ,Madras Municipal Airport,NA,US,Madras
MDK,Mbandaka Airport,AF,CD,Mbandaka
MDL,Mandalay International Airport,AS,MM,Mandalay
MDM,Munduku Airport,OC,PG,Munduku
MDN,Madison Municipal Airport,NA,US,Madison
MDO,Middleton Island Airport,NA,US,Middleton Island
MDP,Mindiptana Airport,AS,ID,Mindiptana-Papua Island
MDQ,Ástor Piazzola International Airport,SA,AR,Mar del Plata
MDR,Medfra Airport,NA,US,Medfra
MDS,Middle Caicos Airport,NA,TC,Middle Caicos
MDT,Harrisburg International Airport,NA,US,Harrisburg
MDU,Mendi Airport,OC,PG,Mendi
MDV,Médouneu Airport,AF,GQ,"Médouneu, Gabon"
MDW,Chicago Midway International Airport,NA,US,Chicago
MDX,Mercedes Airport,SA,AR,Mercedes
MDY,Henderson Field,OC,UM,Sand Island
MDZ,El Plumerillo Airport,SA,AR,Mendoza
MEA,Macaé Airport,SA,BR,Macaé
MEB,Melbourne Essendon Airport,OC,AU,
MEC,Eloy Alfaro International Airport,SA,EC,Manta
MED,Prince Mohammad Bin Abdulaziz Airport,AS,SA,Medina
MEE,Maré Airport,OC,NC,Maré
MEF,Melfi Airport,AF,TD,Melfi
MEG,Malanje Airport,AF,AO,Malanje
MEH,Mehamn Airport,EU,NO,Mehamn
MEI,Key Field,NA,US,Meridian
MEJ,Port Meadville Airport,NA,US,Meadville
MEK,Bassatine Airport,AF,MA,Meknes
MEL,Melbourne International Airport,OC,AU,Melbourne
MEM,Memphis International Airport,NA,US,Memphis
MEN,Mende-Brenoux Airport,EU,FR,Mende/Brénoux
MEO,Dare County Regional Airport,NA,US,Manteo
MEP,Mersing Airport,AS,MY,Mersing
MEQ,Seunagan Airport,AS,ID,Peureumeue-Sumatra Island
MER,Castle Airport,NA,US,Merced
MES,Soewondo Air Force Base,AS,ID,Medan-Sumatra Island
MET,Moreton Airport,OC,AU,Moreton
MEU,Monte Dourado Airport,SA,BR,Almeirim
MEV,Minden-Tahoe Airport,NA,US,Minden
MEW,Mweka Airport,AF,CD,Mweka
MEX,Licenciado Benito Juarez International Airport,NA,MX,Mexico City
MEY,Meghauli Airport,AS,NP,Meghauli
MEZ,Musina(Messina) Airport,AF,ZA,Musina
MFA,Mafia Island Airport,AF,TZ,Mafia Island
MFB,Monfort Airport,SA,CO,Monfort
MFC,Mafeteng Airport,AF,LS,Mafeteng
MFD,Mansfield Lahm Regional Airport,NA,US,Mansfield
MFE,Mc Allen Miller International Airport,NA,US,Mc Allen
MFF,Moanda Airport,AF,GA,Moanda
MFG,Muzaffarabad Airport,AS,PK,Muzaffarabad
MFH,Mesquite Airport,NA,US,Mesquite
MFI,Marshfield Municipal Airport,NA,US,Marshfield
MFJ,Moala Airport,OC,FJ,Moala
MFK,Matsu Beigan Airport,AS,TW,Beigan Island
MFL,Mount Full Stop Airport,OC,AU,Wando Vale
MFM,Macau International Airport,AS,MO,Macau
MFN,Milford Sound Airport,OC,NZ,
MFO,Manguna Airport,OC,PG,Manguna
MFP,Manners Creek Airport,OC,AU,
MFQ,Maradi Airport,AF,NE,Maradi
MFR,Rogue Valley International Medford Airport,NA,US,Medford
MFS,Miraflores Airport,SA,CO,Miraflores
MFT,Machu Pichu Airport,SA,PE,Machu Pichu
